start_t,end_t,duration,peak_t,peak_freq,peak_db
0.0624,0.9724,0.91,0.0624,4980.46875,27.498370669218218
1.1179999999999999,1.1388,0.02080000000000015,1.1336,5000.0,41.11453973505769
1.1596,1.1856,0.026000000000000023,1.17,5000.0,41.11453973505769
1.4456,1.4924,0.04679999999999995,1.4456,5000.0,29.078376882668863
1.5184,1.5756,0.05719999999999992,1.5184,5000.0,29.078376882668863
1.5964,1.6223999999999998,0.0259999999999998,1.5964,5000.0,29.078376882668863
1.6483999999999999,1.6692,0.02080000000000015,1.6483999999999999,5000.0,29.078376882668863
1.7316,1.7784,0.04679999999999995,1.7316,5000.0,29.078376882668863
1.9344,1.9707999999999999,0.03639999999999999,1.9344,5000.0,35.0949476840737
2.0540000000000003,2.132,0.07799999999999985,2.0540000000000003,5000.0,29.078376882668863
2.2048,2.2256,0.02079999999999993,2.2256,5000.0,35.0949476840737
2.2516000000000003,2.2672000000000003,0.015600000000000058,2.2516000000000003,5000.0,29.078376882668863
2.2880000000000003,2.3088,0.02079999999999993,2.2880000000000003,5000.0,29.078376882668863
2.3452,2.4024,0.05719999999999992,2.3452,5000.0,29.078376882668863
2.4648000000000003,2.5012000000000003,0.03639999999999999,2.4856000000000003,5000.0,35.0949476840737
2.548,2.5636,0.015600000000000058,2.548,5000.0,29.078376882668863
2.6312,2.6832000000000003,0.052000000000000046,2.6312,5000.0,29.078376882668863
2.704,2.7248,0.02079999999999993,2.704,5000.0,29.078376882668863
2.8080000000000003,2.8496,0.04159999999999986,2.8496,5000.0,35.0949476840737
2.938,2.9692000000000003,0.031200000000000117,2.938,5000.0,29.078376882668863
3.198,3.2136,0.015600000000000058,3.198,5000.0,29.078376882668863
3.2812,3.3072000000000004,0.026000000000000245,3.2812,5000.0,29.078376882668863
3.3280000000000003,3.3644000000000003,0.03639999999999999,3.3280000000000003,5000.0,29.078376882668863
3.3904,3.406,0.015600000000000058,3.3904,5000.0,29.078376882668863
3.4424,3.4632,0.02079999999999993,3.4424,5000.0,29.078376882668863
3.5828,3.6088,0.0259999999999998,3.5828,5000.0,29.078376882668863
3.7128,3.7284,0.015600000000000058,3.718,5000.0,35.0949476840737
3.8012,3.822,0.02079999999999993,3.8116000000000003,5000.0,35.0949476840737
3.8636000000000004,3.8896,0.0259999999999998,3.8896,5000.0,32.597217895447216
4.035200000000001,4.056,0.020799999999999486,4.0404,5000.0,29.078376882668863
4.0768,4.1080000000000005,0.031200000000000117,4.0768,5000.0,29.078376882668863
4.1288,4.1756,0.046800000000000175,4.1288,5000.0,29.078376882668863
4.196400000000001,4.2224,0.0259999999999998,4.2016,5000.0,29.078376882668863
