sample_id,v_hf_frac_1k,v_spec_kurt,v_crest,v_transient_rate_2k,i_hf_frac_1k,i_spec_kurt,i_crest,i_transient_rate_2k
0,0.002836040958435181,247.37264006460802,1.578018922691904,0.0,0.001019351051234831,248.22575405306057,1.4931173259860204,0.0
1,0.0026801726250546025,247.85741320164,1.570486095316961,0.0,0.0011224872368359262,247.88874649179084,1.500721036674651,0.0
2,0.002607142150817586,246.71833399158152,1.599443577615208,0.0,0.0012056863916046396,248.0686267412281,1.534293437056014,0.0
3,0.0027191709841285585,247.07841007547816,1.5646635811338125,0.0,0.0010531208077923626,248.1196611738051,1.4829816143914107,0.0
4,0.0027421441835364046,247.39042300565956,1.576759353483387,0.0,0.0011758478054837707,247.77678505089165,1.4894041841207035,0.0
5,0.002699690904722085,247.00239633184813,1.561447173224789,0.0,0.001206552766479158,248.1007739685839,1.5154504091856935,0.0
6,0.0026170726215393207,247.23355689694924,1.576087233000711,0.0,0.001143487935036125,247.75991691139518,1.4936987292581165,0.0
7,0.002752729301571165,247.1503793344857,1.5615433545921857,0.0,0.0011134127531160173,248.13219936087282,1.4900026663101578,0.0
8,0.002690129891803882,246.9741482446784,1.5592116576899462,0.0,0.001036920577879083,247.97583100195894,1.4982409851301115,0.0
9,0.0028610894128879363,247.82667637849138,1.5667712787285988,0.0,0.0011126851145360466,248.5050783374242,1.5215406099836262,0.0
10,0.0024715220067915646,247.2993807888632,1.5371816944996954,0.0,0.0012337426890677537,248.06536951304665,1.5187495676502047,0.0
11,0.0026770682737975995,247.14669116970978,1.5316126996721158,0.0,0.001211937359077092,248.03835040324466,1.497414207455107,0.0
12,0.0026850398771966553,247.4111219533333,1.577218950210389,0.0,0.0012268502243547785,247.793774033862,1.4896801721675377,0.0
13,0.0026935407473883664,246.8201911219289,1.5829933859530239,0.0,0.0011177587239876244,248.33957160421275,1.480482398838703,0.0
14,0.0028351488440141385,247.11555201760916,1.5491013551494022,0.0,0.001237088685332428,248.2242047956093,1.4970213285833593,0.0
15,0.0025077641913985745,247.51989625937455,1.5583561805373007,0.0,0.0011649178754017922,247.67377431678273,1.493758442986804,0.0
16,0.002743869608350166,247.49550095553852,1.5934572422378301,0.0,0.0010887977695292275,247.50899404779472,1.4965335327310914,0.0
17,0.002757289881396337,246.77072391513855,1.5243103271560605,0.0,0.0012073612422520165,247.82701202248597,1.504387182759625,0.0
18,0.0026489176377025693,246.85710707088546,1.543479913200559,0.0,0.0011810003625906936,247.90562769997015,1.4963481918787627,0.0
19,0.002847826274088671,246.18631446100122,1.6166265616790036,0.0,0.00130497952210254,248.44479874880813,1.5150256382566138,0.0
20,0.0029141790297446996,247.67883106126658,1.636056276337607,0.0,0.0012388611996999228,248.1849438416104,1.4926034229703902,0.0
21,0.0027447056449217493,247.15848315418916,1.5533493529602211,0.0,0.0011447694038542154,248.01805957288403,1.5111102795355396,0.09523809523809523
22,0.0025510533172600947,247.03076367533433,1.5847962821901826,0.0,0.001173382668168834,248.22710791908204,1.4965770881700726,0.0
23,0.0025645527119213226,246.97265986554245,1.5733021230839284,0.0,0.0010544777312248242,248.13915155945426,1.4973624560948087,0.0
24,0.0026893496322266024,247.29242872981655,1.54980889372569,0.0,0.0010465407418321772,248.093019913719,1.511891868612265,0.0
25,0.0028580092181715623,247.06647568419675,1.5267906891252658,0.0,0.001182224782915731,248.50089894456306,1.5020318001762496,0.0
26,0.002726574298248194,246.8794571604806,1.5776772681775928,0.0,0.0011105428523865066,248.1758394967933,1.5020193589072768,0.0
27,0.0026380331095403236,247.14256943151804,1.573015351783693,0.0,0.001152438186945003,248.19452176323836,1.5050279376643125,0.0
28,0.0027289265664581673,246.98404245703344,1.541427958832688,0.0,0.001141687417375857,247.73756888110512,1.4866310592334693,0.0
29,0.0026927492997870068,247.76230412709,1.5594838047152377,0.0,0.00109820487990113,248.31633520059955,1.5071415887290522,0.0
